"","Full.Name","College","Draft.Year","Position","Birth.Date","Height..Inches.","Weight","Breakout.Age","Breakout.Year","College.Dominator.Rating","College.YPR","Catch.Radius","Agility.Score","X20.Yard.Shuttle","Height.adjusted.Speed.Score","SPARQ.x","Broad.Jump","X3.Cone.Drill","X40.Yard.Dash","Burst.Score","Vertical.Jump","Hand.Size","Arm.Length","n_40","n_3c","n_20s","n_vj","n_he","n_al","n_bj","cr_score","bs_score","Had.Breakout","Draft.Date","Draft.Age","BMI","Late.Breakout.Date","Pick.Number","SOS.Rank","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","BestFinish","Success"
"1","a.j. green","Georgia",2011,"WR",1988-07-31,76,211,20.1,2008,42.2,14.9,113.341444419701,11.12,4.21,107.1,113.9,126,6.91,4.5,104.681960780352,34.5,9.25,34.38,0.670588235294117,0.554744525547445,0.65546218487395,0.432432432432432,0.733333333333333,0.767671232876713,0.638888888888889,2.50115545392313,1.07132132132132,"Y",2011-04-01,22.6821917808219,25.6809210526316,2011-10-08,4,36,17,3,4,24,8,33,10,300,300,300,300,300,300,300,3,1
"2","a.j. jenkins","Illinois",2012,"WR",1989-09-30,72,192,20.9,2010,55.2,14.2,116.197814882135,10.85,4.12,102,115.1,124,6.73,4.39,109.883504993993,38.5,9.5,32.75,0.8,0.686131386861313,0.73109243697479,0.648648648648649,0.466666666666667,0.589041095890411,0.583333333333333,2.63076469125724,1.23198198198198,"Y",2012-04-01,22.5178082191781,26.037037037037,2012-10-08,30,53,200,134,145,300,300,300,300,300,300,300,300,300,300,300,134,0
"3","aaron burbridge","Michigan State",2016,"WR",1993-12-23,72,206,21.7,2015,32.6,14.8,86.3383107043652,11.53,4.31,94,106.1,115,7.22,4.56,87.789095226705,30.5,8.25,31.625,0.6,0.328467153284672,0.571428571428572,0.216216216216216,0.466666666666667,0.465753424657534,0.333333333333333,1.27587476554469,0.549549549549549,"Y",2016-04-01,22.2876712328767,27.9355709876543,2016-10-08,213,30,153,300,300,300,300,300,300,300,300,300,300,300,300,300,153,NA
"4","aaron dobson","Marshall",2013,"WR",1991-07-23,75,210,18.1,2009,26.1,11.9,NA,11.52,4.33,113.1,111.1,121,7.19,4.42,101.060324855901,35,NA,NA,0.764705882352941,0.350364963503649,0.554621848739496,0.459459459459459,0.666666666666667,NA,0.5,NA,0.959459459459459,"Y",2013-04-01,21.7068493150685,26.2453333333333,2013-10-08,59,104,61,167,137,300,300,300,300,300,300,300,300,300,300,300,61,0
"5","aaron mellette","Elon College",2013,"WR",1989-12-28,74,217,20.7,2010,54.8,14.5,95.7140167668232,11.52,4.41,103.6,93,123,7.11,4.54,100.233911289248,33.5,9.58,33.18,0.623529411764706,0.408759124087591,0.487394957983193,0.378378378378378,0.6,0.636164383561644,0.555555555555556,1.70130211406455,0.933933933933934,"Y",2013-04-01,23.2739726027397,27.8581081081081,2013-10-08,238,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,0
"6","ace sanders","South Carolina",2013,"WR",1991-11-11,67,173,20.8,2012,24.1,11.8,83.722942345466,11.18,4.37,72.2,81.8,117,6.81,4.58,92.2128384364371,32,8.78,29.48,0.576470588235294,0.627737226277372,0.521008403361344,0.297297297297297,0.133333333333333,0.230684931506849,0.388888888888889,1.15720111911027,0.686186186186186,"Y",2013-04-01,21.4027397260274,27.0926709734908,2013-10-08,101,23,66,156,300,300,300,300,300,300,300,300,300,300,300,300,66,0
"7","adam humphries","Clemson",2015,"WR",1993-06-24,71,195,22.3041095890411,NA,9.4,6.8,NA,11.28,4.32,86.2,96.2,122,6.96,4.58,97.5845266196832,32.5,9.25,NA,0.576470588235294,0.518248175182482,0.563025210084033,0.324324324324324,0.4,NA,0.527777777777778,NA,0.852102102102102,"N",2015-04-01,21.7835616438356,27.1940091251736,2015-10-08,260,48,99,59,49,300,300,300,300,300,300,300,300,300,300,300,49,0
"8","adam jennings","Fresno State",2006,"WR",1982-11-17,69.13,181,23.9068493150685,NA,17.5,12.9,98.4072995833486,11,4.12,80.75864633,NA,118,6.88,4.46,102.73745827058,37.5,8.63,28.38,0.717647058823529,0.576642335766423,0.73109243697479,0.594594594594595,0.275333333333333,0.11013698630137,0.416666666666667,1.82351116795506,1.01126126126126,"N",2006-04-01,23.386301369863,26.6256847807102,2006-10-08,184,87,175,132,174,300,300,300,300,300,300,300,300,300,300,300,132,0
"9","adam thielen","Minnesota State",2013,"WR",1990-08-22,75,200,20,2010,45.9,15.9,NA,11.26,4.49,96.7,99.7,120,6.77,4.54,101.911044703927,36,NA,NA,0.623529411764706,0.656934306569343,0.420168067226891,0.513513513513513,0.666666666666667,NA,0.472222222222222,NA,0.985735735735736,"Y",2013-04-01,22.6246575342466,24.9955555555556,2013-10-08,260,260,300,127,128,29,8,300,300,300,300,300,300,300,300,300,8,1
"10","adrian coxson","Stony Brook",2015,"WR",1992-08-14,73,215,21.1,2013,45.2,15.4,91.2953082795883,11.43,4.4,103.9,100.6,111,7.03,4.51,86.8168439718188,32,9.75,31.75,0.658823529411765,0.467153284671533,0.495798319327731,0.297297297297297,0.533333333333333,0.479452054794521,0.222222222222222,1.50080100800559,0.519519519519519,"Y",2015-04-01,22.6438356164384,28.3627322199287,2015-10-08,260,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"11","ahmad fulwood","Florida",2017,"WR",1995-01-10,76,202,22.758904109589,NA,6.2,11.7,NA,11.67,4.38,97.3,NA,124,7.29,4.56,102.883295958813,34.5,NA,NA,0.6,0.277372262773723,0.512605042016807,0.432432432432432,0.733333333333333,NA,0.583333333333333,NA,1.01576576576577,"N",2017-04-01,22.2383561643836,24.5855263157895,2017-10-08,260,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"12","alan bonner","Jacksonville State",2013,"WR",1990-11-05,70,193,20.8,2011,37.6,17.2,89.9170419004012,11.13,4.09,83.4,103.9,117,7.04,4.59,93.9628906952322,33,9.38,30.28,0.564705882352941,0.45985401459854,0.756302521008403,0.351351351351351,0.333333333333333,0.318356164383562,0.388888888888889,1.43826148219862,0.74024024024024,"Y",2013-04-01,22.4191780821918,27.6895918367347,2013-10-08,195,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,0
"13","albert wilson","Georgia State",2014,"WR",1992-07-12,69,202,20.2,2012,59.9,16.6,97.2020931086126,11.21,4.21,99.1,107.8,123,7,4.43,107.234120324428,37.5,9.13,30.38,0.752941176470588,0.489051094890511,0.65546218487395,0.594594594594595,0.266666666666667,0.329315068493151,0.555555555555556,1.76882432180712,1.15015015015015,"Y",2014-04-01,21.7342465753425,29.8269271161521,2014-10-08,260,109,112,76,91,59,300,300,300,300,300,300,300,300,300,300,59,0
"14","aldrick robinson","SMU",2011,"WR",1988-11-24,70,184,19.8,2008,40.2,20,110.915573797793,10.74,4.09,91.6,122.1,126,6.65,4.43,114.307248203725,40,8.75,29.5,0.752941176470588,0.744525547445255,0.756302521008403,0.72972972972973,0.333333333333333,0.232876712328767,0.638888888888889,2.39108036201483,1.36861861861862,"Y",2011-04-01,22.3643835616438,26.3983673469388,2011-10-08,178,80,300,103,99,185,300,101,103,300,300,300,300,300,300,300,99,0
"15","alex erickson","Wisconsin",2016,"WR",1992-11-06,72,195,21.8,2014,27.9,13.4,NA,10.78,4.1,86.7,105.6,116,6.68,4.59,95.6886366726552,34.5,NA,NA,0.564705882352941,0.722627737226277,0.747899159663866,0.432432432432432,0.466666666666667,NA,0.361111111111111,NA,0.793543543543544,"Y",2016-04-01,23.4164383561644,26.4438657407407,2016-10-08,260,66,163,123,300,300,300,300,300,300,300,300,300,300,300,300,123,NA
"16","alex neutz","Buffalo",2014,"WR",1991-03-02,75,214,19.5,2010,49.7,16.8,93.6701703942287,11.47,4.33,95.7,97.4,117,7.14,4.63,93.9628906952322,33,9.25,32.5,0.51764705882353,0.386861313868613,0.554621848739496,0.351351351351351,0.666666666666667,0.561643835616438,0.388888888888889,1.60856156340283,0.74024024024024,"Y",2014-04-01,23.0986301369863,26.7452444444444,2014-10-08,260,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0
"17","allen hurns","Miami (FL)",2014,"WR",1991-11-12,73,205,19.8,2011,28.8,18.7,85.712162671197,11.73,4.5,95.7,91.9,120,7.23,4.55,93.1607834099511,31,9.25,32,0.611764705882353,0.321167883211678,0.411764705882353,0.243243243243243,0.533333333333333,0.506849315068493,0.472222222222222,1.24746298559371,0.715465465465466,"Y",2014-04-01,22.4,27.0435353724901,2014-10-08,260,56,49,19,78,67,300,300,300,300,300,300,300,300,300,300,19,1
"18","allen robinson","Penn State",2014,"WR",1993-08-24,74,220,19,2012,37.9,14.8,110.334568566741,11,4,103.2,124.1,127,7,4.56,113.4565283557,39,9.5,32,0.6,0.489051094890511,0.831932773109244,0.675675675675676,0.6,0.506849315068493,0.666666666666667,2.36471695927203,1.34234234234234,"Y",2014-04-01,20.6164383561644,28.2432432432432,2014-10-08,61,53,66,6,28,188,300,300,300,300,300,300,300,300,300,300,6,1
"19","alonzo moore","Nebraska",2017,"WR",1992-11-10,72,199,23.8,2016,23,18.8,NA,10.96,4.17,94,NA,119,6.79,4.52,94.0115032579765,32,NA,NA,0.647058823529412,0.642335766423358,0.689075630252101,0.297297297297297,0.466666666666667,NA,0.444444444444444,NA,0.741741741741742,"Y",2017-04-01,24.4054794520548,26.9863040123457,2017-10-08,260,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"20","alonzo russell","Toledo",2016,"WR",1992-09-29,76,206,19.9,2012,25.5,14.8,100.017737162761,11.51,4.33,101,92.7,112,7.18,4.54,83.3410457356008,29.5,9.5,33.88,0.623529411764706,0.357664233576642,0.554621848739496,0.162162162162162,0.733333333333333,0.712876712328767,0.25,1.89658557801038,0.412162162162162,"Y",2016-04-01,23.5205479452055,25.0723684210526,2016-10-08,260,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,0
"21","alshon jeffery","South Carolina",2012,"WR",1990-02-14,75,216,19.6,2009,39.7,16.4,113.009009164988,10.88,4.17,105.4,117.1,122,6.71,4.53,104.584735654864,36.5,10.25,33,0.635294117647058,0.700729927007299,0.689075630252101,0.540540540540541,0.666666666666667,0.616438356164384,0.527777777777778,2.48607103809089,1.06831831831832,"Y",2012-04-01,22.1424657534247,26.9952,2012-10-08,45,32,81,8,10,42,55,22,300,300,300,300,300,300,300,300,8,1
"22","amara darboh","Michigan",2017,"WR",1994-02-01,74,214,20.6,2014,33.1,15.1,107.09338228934,11.11,4.3,110.6,113.8,124,6.81,4.45,105.508374347005,36,9.88,32.63,0.729411764705882,0.627737226277372,0.579831932773109,0.513513513513513,0.6,0.575890410958904,0.583333333333333,2.21764651200457,1.09684684684685,"Y",2017-04-01,23.1780821917808,27.472972972973,2017-10-08,106,49,153,300,300,300,300,300,300,300,300,300,300,300,300,300,153,NA
"23","amari cooper","Alabama",2015,"WR",1994-06-19,73,211,18.2,2012,47.2,13.9,111.29731373873,10.69,3.98,110.6,122,120,6.71,4.42,96.6608879275413,33,10,31.5,0.764705882352941,0.700729927007299,0.848739495798319,0.351351351351351,0.533333333333333,0.452054794520548,0.472222222222222,2.40840200262671,0.823573573573574,"Y",2015-04-01,20.7972602739726,27.8350534809533,2015-10-08,4,2,21,15,35,300,300,300,300,300,300,300,300,300,300,300,15,1
"24","amba etta-tawo","Syracuse",2017,"WR",1993-11-10,73,208,22.8,2016,48.4,15.8,94.7886027107017,11.27,4.32,102.4,100.1,126,6.95,4.49,98.5567778745694,31,9.13,32,0.68235294117647,0.525547445255474,0.563025210084033,0.243243243243243,0.533333333333333,0.506849315068493,0.638888888888889,1.65931098875024,0.882132132132132,"Y",2017-04-01,23.4054794520548,27.4392944267217,2017-10-08,260,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"25","anas hasic","West Florida",2017,"WR",NA,71,212,NA,2014,23.2,15.2,NA,NA,4.2,100.6,138.7,121,NA,4.5,101.935350985299,35.5,NA,NA,0.670588235294117,NA,0.663865546218487,0.486486486486487,0.4,NA,0.5,NA,0.986486486486487,"Y",2017-04-01,NA,29.5647688950605,2017-10-08,260,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"26","andre caldwell","Florida",2008,"WR",1985-04-15,72,200,22.4,2007,28.2,13.6,110.323309081748,10.86,4.11,108.2,120,124,6.75,4.37,100.25821757062,33,9.13,32.75,0.823529411764706,0.671532846715328,0.739495798319327,0.351351351351351,0.466666666666667,0.589041095890411,0.583333333333333,2.36420605451303,0.934684684684685,"Y",2008-04-01,22.9780821917808,27.1219135802469,2008-10-08,97,3,127,64,97,83,180,109,162,134,300,300,300,300,300,300,64,0
"27","andre davis","South Florida",2015,"WR",1993-09-01,73,205,20,2013,38.5,15.8,94.5491916176653,11.42,4.33,95.7,100,118,7.09,4.55,93.1121708472068,32,9.25,33.25,0.611764705882353,0.423357664233577,0.554621848739496,0.297297297297297,0.533333333333333,0.643835616438356,0.416666666666667,1.64844759074713,0.713963963963964,"Y",2015-04-01,21.5945205479452,27.0435353724901,2015-10-08,260,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"28","andre debose","Florida",2015,"WR",1990-09-12,72,195,21,2011,12.1,18.5,106.398075923095,11.02,4.09,94.6,110.8,123,6.93,4.49,107.234120324428,37.5,8.625,32.25,0.68235294117647,0.54014598540146,0.756302521008403,0.594594594594595,0.466666666666667,0.534246575342466,0.555555555555556,2.1860966381252,1.15015015015015,"Y",2015-04-01,24.5671232876712,26.4438657407407,2015-10-08,221,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"29","andre holmes","Hillsdale",2011,"WR",1988-06-16,76,223,21.2,2009,41.9,13.2,113.70871628383,11,4.31,110.3,101.5,130,6.69,4.53,109.154316552829,35,8.63,34,0.635294117647058,0.715328467153284,0.571428571428572,0.459459459459459,0.733333333333333,0.726027397260274,0.75,2.5178205983188,1.20945945945946,"Y",2011-04-01,22.8054794520548,27.1414473684211,2011-10-08,260,260,300,185,95,55,100,114,116,300,300,300,300,300,300,300,55,0
"30","andre johnson","Miami (FL)",2003,"WR",1981-07-11,74,225,20.2,2001,28.8,21,NA,10.91,4.1,121.7,128.2,132,NA,4.4,117.953190409549,39,9.125,NA,0.788235294117646,NA,0.747899159663866,0.675675675675676,0.6,NA,0.805555555555556,NA,1.48123123123123,"Y",2003-04-01,21.7369863013699,28.8851351351351,2003-10-08,3,37,300,300,300,11,27,1,1,7,76,6,10,28,58,134,1,1
"31","andre patton","Rutgers",2017,"WR",1994-05-28,74,198,22.3,2016,36.6,13.9,NA,11.03,4.29,90.4,95.2,118,6.74,4.59,99.2373537529897,35.5,NA,NA,0.564705882352941,0.678832116788321,0.588235294117647,0.486486486486487,0.6,NA,0.416666666666667,NA,0.903153153153153,"Y",2017-04-01,22.8602739726027,25.4189189189189,2017-10-08,260,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"32","andre roberts","Citadel",2010,"WR",1988-01-09,71,195,18.7,2006,46.1,10.3,103.903401650729,10.92,4.15,95.9,112.6,120,6.77,4.46,101.911044703927,36,9.5,31.5,0.717647058823529,0.656934306569343,0.705882352941176,0.513513513513513,0.4,0.452054794520548,0.472222222222222,2.07289954618959,0.985735735735736,"Y",2010-04-01,22.241095890411,27.1940091251736,2010-10-08,88,155,89,55,34,68,81,143,120,190,300,300,300,300,300,300,34,0
"33","andrew hawkins","Toledo",2011,"WR",1986-03-10,67,175,25.5972602739726,NA,7.7,9.3,NA,10.84,4.03,86.5,111.6,114,6.81,4.39,100.015154756899,38,NA,NA,0.8,0.627737226277372,0.80672268907563,0.621621621621622,0.133333333333333,NA,0.305555555555556,NA,0.927177177177177,"N",2011-04-01,25.0767123287671,27.4058810425485,2011-10-08,260,103,112,57,122,48,102,89,300,300,300,300,300,300,300,300,48,0
"34","andy cruse","Miami (OH)",2013,"WR",1990-01-13,75,212,22.6,2012,21,9.2,NA,11.05,4.22,88.5,97.5,126,6.83,4.71,103.806934650955,34,NA,NA,0.423529411764706,0.613138686131387,0.647058823529412,0.405405405405405,0.666666666666667,NA,0.638888888888889,NA,1.04429429429429,"Y",2013-04-01,23.2301369863014,26.4952888888889,2013-10-08,260,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,0
"35","andy jones","Jacksonville",2016,"WR",1994-06-28,74,217,20.2,2014,29.7,14.8,NA,11.35,4.35,98.3,104.3,133,6.97,4.6,123.227653467306,41.5,9.25,NA,0.552941176470589,0.510948905109489,0.53781512605042,0.810810810810811,0.6,NA,0.833333333333333,NA,1.64414414414414,"Y",2016-04-01,21.7753424657534,27.8581081081081,2016-10-08,260,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,0
"36","anquan boldin","Florida State",2003,"WR",1980-10-03,73,220,19.9,2000,41.2,15.6,NA,11.68,4.33,88.7,99.6,114,7.35,4.72,92.1399195923206,33.5,9.875,NA,0.411764705882353,0.233576642335767,0.554621848739496,0.378378378378378,0.533333333333333,NA,0.305555555555556,NA,0.683933933933934,"Y",2003-04-01,22.5068493150685,29.022330643648,2003-10-08,54,3,300,300,300,15,19,6,18,25,34,30,15,19,40,41,6,1
"37","anthony dable","None",2016,"WR",1988-09-25,77,215,28.0547945205479,NA,NA,NA,NA,NA,NA,114.6,NA,NA,NA,4.46,NA,NA,NA,NA,0.717647058823529,NA,NA,NA,0.8,NA,NA,NA,NA,"N",2016-04-01,27.5342465753425,25.4924945184685,2016-10-08,260,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,0
"38","anthony gonzalez","Ohio State",2007,"WR",1984-09-18,72,193,22.05,2006,26,14.5,114.244306442949,10.62,4.08,93.43146852,NA,123,6.54,4.46,108.109146453826,38,9.38,31,0.717647058823529,0.824817518248175,0.764705882352941,0.621621621621622,0.466666666666667,0.397260273972603,0.555555555555556,2.54212326947439,1.17717717717718,"Y",2007-04-01,22.5479452054795,26.1726466049383,2007-10-08,32,38,64,40,300,153,191,300,300,300,300,300,300,300,300,300,40,0
"39","anthony mix","Auburn",2006,"WR",1983-01-20,76.25,235,23.7315068493151,NA,11.5,12.6,NA,NA,NA,123.1679345,NA,111,NA,4.5,85.9418178424213,31.5,9.63,32.88,0.670588235294117,NA,NA,0.27027027027027,0.75,0.603287671232877,0.222222222222222,NA,0.492492492492492,"N",2006-04-01,23.2109589041096,28.4147272238646,2006-10-08,260,61,300,157,300,300,300,300,300,300,300,300,300,300,300,300,157,0
"40","anthony warrum","Illinois State",2017,"WR",1994-07-10,72,190,21.2,2015,53.6,19.7,NA,10.86,4.2,80.2,NA,112,6.66,4.65,85.0910979943959,30.5,NA,NA,0.494117647058823,0.737226277372263,0.663865546218487,0.216216216216216,0.466666666666667,NA,0.25,NA,0.466216216216216,"Y",2017-04-01,22.7424657534247,25.7658179012346,2017-10-08,260,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"41","antonio brown","Central Michigan",2010,"WR",1988-07-10,70,186,19.2,2007,32.8,10.9,NA,11.16,4.18,82.5,100,105,6.98,4.56,84.0459278953932,33.5,NA,NA,0.6,0.503649635036496,0.680672268907563,0.378378378378378,0.333333333333333,NA,0.0555555555555556,NA,0.433933933933934,"Y",2010-04-01,21.7397260273973,26.685306122449,2010-10-08,195,110,123,24,32,3,1,1,1,2,300,300,300,300,300,300,1,1
"42","antwan goodley","Baylor",2015,"WR",1991-09-06,70,209,22,2013,26.3,16.4,88.9388349342426,11.57,4.38,103.1,96.6,127,7.19,4.44,106.45631932052,35,9.25,30.75,0.741176470588235,0.350364963503649,0.512605042016807,0.459459459459459,0.333333333333333,0.36986301369863,0.666666666666667,1.39387485220572,1.12612612612613,"Y",2015-04-01,23.5835616438356,29.9851020408163,2015-10-08,260,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"43","antwane grant","Western Kentucky",2016,"WR",1993-04-14,72,202,23.5013698630137,NA,14.2,12.6,NA,11.48,4.39,76.3,111.2,123,7.09,4.78,101.983963548043,34.5,9.25,NA,0.341176470588235,0.423357664233577,0.504201680672269,0.432432432432432,0.466666666666667,NA,0.555555555555556,NA,0.987987987987988,"N",2016-04-01,22.9808219178082,27.3931327160494,2016-10-08,260,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,0
"44","ardarius stewart","Alabama",2017,"WR",1993-12-08,71,204,22.7,2016,36.4,16,NA,NA,NA,97.6,NA,124,NA,4.49,102.008269829415,34,9.38,32.5,0.68235294117647,NA,NA,0.405405405405405,0.4,0.561643835616438,0.583333333333333,NA,0.988738738738739,"Y",2017-04-01,23.3287671232877,28.4491172386431,2017-10-08,79,1,148,300,300,300,300,300,300,300,300,300,300,300,300,300,148,NA
"45","armon binns","Cincinnati",2011,"WR",1989-09-08,75,209,20,2009,36.1,14.7,100.37131310343,11.17,4.31,102,98,118,6.86,4.53,92.2371447178092,31.5,9.5,32.5,0.635294117647058,0.591240875912408,0.571428571428572,0.27027027027027,0.666666666666667,0.561643835616438,0.416666666666667,1.91262926303388,0.686936936936937,"Y",2011-04-01,21.5753424657534,26.1203555555556,2011-10-08,260,35,300,100,300,300,300,300,300,300,300,300,300,300,300,300,100,0
"46","arrelious benn","Illinois",2010,"WR",1988-09-08,73,220,19,2007,20.2,14.3,101.790831517552,11.1,4.32,100.9,115.3,118,6.78,4.57,101.862432141182,37,9.375,32.25,0.588235294117647,0.64963503649635,0.563025210084033,0.567567567567568,0.533333333333333,0.534246575342466,0.416666666666667,1.97704062054362,0.984234234234234,"Y",2010-04-01,21.5753424657534,29.022330643648,2010-10-08,39,48,84,81,168,300,300,300,145,191,300,300,300,300,300,300,81,0
"47","artavis scott","Clemson",2017,"WR",1994-10-12,70,193,19.9,2014,21.6,10.4,78.5012208499405,11.68,4.49,82,86.6,116,7.19,4.61,89.5634537668723,31,9.38,31,0.541176470588235,0.350364963503649,0.420168067226891,0.243243243243243,0.333333333333333,0.397260273972603,0.361111111111111,0.920262896457823,0.604354354354354,"Y",2017-04-01,22.4849315068493,27.6895918367347,2017-10-08,260,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"48","aundrae allison","East Carolina",2007,"WR",1984-06-25,72.25,198,21.29,2005,43,12.4,NA,NA,NA,100.0659529,NA,127,NA,4.42,109.95642383811,37,9,32.25,0.764705882352941,NA,NA,0.567567567567568,0.483333333333333,0.534246575342466,0.666666666666667,NA,1.23423423423423,"Y",2007-04-01,22.7808219178082,26.6651979741622,2007-10-08,146,76,130,133,300,300,300,300,300,300,300,300,300,300,300,300,130,0
"49","austin carr","Northwestern",2017,"WR",1993-12-25,72,202,21.7,2015,46.8,13.9,NA,10.77,4.07,83.8,106.6,116,6.7,4.67,93.9385844138601,33.5,NA,NA,0.470588235294118,0.708029197080292,0.773109243697479,0.378378378378378,0.466666666666667,NA,0.361111111111111,NA,0.739489489489489,"Y",2017-04-01,23.2821917808219,27.3931327160494,2017-10-08,260,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"50","austin collie","BYU",2009,"WR",1985-11-11,72,200,21.8,2007,40.5,14.5,NA,10.85,4.07,85.9,109.7,120,6.78,4.63,98.4109401863364,34,NA,NA,0.51764705882353,0.64963503649635,0.773109243697479,0.405405405405405,0.466666666666667,NA,0.472222222222222,NA,0.877627627627628,"Y",2009-04-01,23.4027397260274,27.1219135802469,2009-10-08,127,74,29,35,64,194,156,300,300,300,300,300,300,300,300,300,29,1
"51","austin duke","Charlotte",2017,"WR",1993-08-03,69,170,20.1,2013,38.2,15.5,NA,11.21,4.29,72.4,99.8,121,6.92,4.59,104.560429373491,37,NA,NA,0.564705882352941,0.547445255474452,0.588235294117647,0.567567567567568,0.266666666666667,NA,0.5,NA,1.06756756756757,"Y",2017-04-01,23.6767123287671,25.1018693551775,2017-10-08,260,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"52","austin franklin","New Mexico State",2014,"WR",1992-12-06,71,189,19.8,2012,44.7,14.8,90.4719603017851,11.4,4.33,85,91,124,7.07,4.56,105.508374347005,36,10,31.25,0.6,0.437956204379562,0.554621848739496,0.513513513513513,0.4,0.424657534246575,0.583333333333333,1.46344118200714,1.09684684684685,"Y",2014-04-01,21.3315068493151,26.3572703828605,2014-10-08,260,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,0
"53","austin hill","Arizona",2015,"WR",1991-07-17,74,210,21.1,2012,25.4,14.9,105.662673712609,10.83,4.11,91.9,112.4,121,6.72,4.64,103.685403244094,36.5,9.125,31.625,0.505882352941177,0.693430656934307,0.739495798319327,0.540540540540541,0.6,0.465753424657534,0.5,2.15272739527367,1.04054054054054,"Y",2015-04-01,23.7232876712329,26.9594594594595,2015-10-08,260,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"54","austin pettis","Boise State",2011,"WR",1988-02-08,75,209,20.6,2008,27.8,13.4,113.373663411318,10.56,3.88,95.1,114.3,120,6.68,4.61,97.5359140569389,33.5,9.75,31.75,0.541176470588235,0.722627737226277,0.932773109243697,0.378378378378378,0.666666666666667,0.479452054794521,0.472222222222222,2.50261740677065,0.850600600600601,"Y",2011-04-01,23.158904109589,26.1203555555556,2011-10-08,78,81,109,80,69,123,300,300,300,300,300,300,300,300,300,300,69,0
"55","austin willis","Emporia State",2015,"WR",1992-04-13,69,176,21.4,2013,29.1,13.5,100.479752189792,11.19,4.21,88.8,124.4,125,6.98,4.4,112.532889663558,39.5,9.375,29.375,0.788235294117646,0.503649635036496,0.65546218487395,0.702702702702703,0.266666666666667,0.219178082191781,0.611111111111111,1.91754974077492,1.31381381381381,"Y",2015-04-01,22.9808219178082,25.9878176853602,2015-10-08,260,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"56","b.j. cunningham","Michigan State",2012,"WR",1989-05-29,73,215,21.3,2010,41.5,16.5,92.5121243100604,11.41,4.31,96.9,95.1,116,7.1,4.59,90.4384798962698,31.5,8.125,33,0.564705882352941,0.416058394160584,0.571428571428572,0.27027027027027,0.533333333333333,0.616438356164384,0.361111111111111,1.55601464354745,0.631381381381381,"Y",2012-04-01,22.8575342465753,28.3627322199287,2012-10-08,183,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"57","ben edwards","Richmond",2014,"WR",1992-04-11,70,197,19.4,2011,25.3,11.5,NA,11.32,4.52,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,0.635036496350365,0.394957983193278,NA,0.333333333333333,NA,NA,NA,NA,"Y",2014-04-01,21.986301369863,28.2634693877551,2014-10-08,260,151,300,190,300,300,300,300,300,300,300,300,300,300,300,300,190,0
