"","Full.Name","College","Draft.Year","Position","Birth.Date","Height..Inches.","Weight","Breakout.Age","Breakout.Year","College.Dominator.Rating","College.YPR","Catch.Radius","Agility.Score","X20.Yard.Shuttle","Height.adjusted.Speed.Score","SPARQ.x","Broad.Jump","X3.Cone.Drill","X40.Yard.Dash","Burst.Score","Vertical.Jump","Hand.Size","Arm.Length","n_40","n_3c","n_20s","n_vj","n_he","n_al","n_bj","cr_score","bs_score","Had.Breakout","Draft.Date","Draft.Age","BMI","Late.Breakout.Date","Pick.Number","SOS.Rank","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","BestFinish","Success"
"695","tyreek hill","West Alabama",2016,"WR",1994-03-01,70,185,22.6219178082192,NA,19.4,16.4,NA,10.59,4.06,100,122.5,129,6.53,4.34,117.880271565432,40.5,NA,NA,0.858823529411765,0.832116788321168,0.781512605042017,0.756756756756757,0.333333333333333,NA,0.722222222222222,NA,1.47897897897898,"N",2016-04-01,22.1013698630137,26.5418367346939,2016-10-08,165,260,23,9,300,300,300,300,300,300,300,300,300,300,300,300,9,1
"696","tyrell williams","Western Oregon",2015,"WR",1992-02-12,75,204,20.6,2012,30.5,17,120.064703226996,10.91,4.17,104.1,117,127,6.74,4.48,114.331554485098,39.5,9.875,33.5,0.694117647058823,0.678832116788321,0.689075630252101,0.702702702702703,0.666666666666667,0.671232876712329,0.666666666666667,2.80622668255875,1.36936936936937,"Y",2015-04-01,23.1479452054795,25.4954666666667,2015-10-08,260,260,157,18,43,300,300,300,300,300,300,300,300,300,300,300,18,1
"697","vernon johnson","TAMU Commerce",2015,"WR",1992-04-17,73,190,22.4,2014,27.3,16.3,87.5422445085691,11.84,4.47,84.1,101.2,127,7.37,4.61,109.95642383811,37,9.75,31.375,0.541176470588235,0.218978102189781,0.436974789915967,0.567567567567568,0.533333333333333,0.438356164383562,0.666666666666667,1.33050386363116,1.23423423423423,"Y",2015-04-01,22.9698630136986,25.0647401013323,2015-10-08,260,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"698","victor bolden","Oregon State",2017,"WR",1995-04-04,68,178,19.4,2014,23.9,10.9,90.8619391441102,11.05,4.22,78.1,91.3,117,6.83,4.54,92.2128384364371,32,9,31.13,0.623529411764706,0.613138686131387,0.647058823529412,0.297297297297297,0.2,0.411506849315068,0.388888888888889,1.48113666688732,0.686186186186186,"Y",2017-04-01,22.0082191780822,27.0618512110727,2017-10-08,260,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"699","victor cruz","Massachusetts",2010,"WR",1986-11-11,72,204,21.8,2008,39.9,14.8,NA,11.13,4.17,96.4,118.7,125,6.96,4.52,116.032994181148,41.5,9.5,NA,0.647058823529412,0.518248175182482,0.689075630252101,0.810810810810811,0.466666666666667,NA,0.611111111111111,NA,1.42192192192192,"Y",2010-04-01,23.4027397260274,27.6643518518519,2010-10-08,260,138,300,3,14,28,97,300,75,300,300,300,300,300,300,300,3,1
"700","vincent brown","San Diego State",2011,"WR",1989-01-25,71,190,19.6,2008,35.5,19.6,98.8945827760454,10.89,4.25,77,92.3,121,6.64,4.68,98.4352464677086,33.5,10.25,33,0.458823529411765,0.751824817518248,0.621848739495798,0.378378378378378,0.4,0.616438356164384,0.5,1.84562188636563,0.878378378378378,"Y",2011-04-01,22.1945205479452,26.4967268399127,2011-10-08,82,88,98,300,78,130,184,300,300,300,300,300,300,300,300,300,78,0
"701","vincent jackson","Northern Colorado",2005,"WR",1983-01-14,77,230,20.6,2003,70.3,17.3,NA,10.84,4,122.6,140.2,129,NA,4.46,115.255193177239,39,9.625,NA,0.717647058823529,NA,0.831932773109244,0.675675675675676,0.8,NA,0.722222222222222,NA,1.3978978978979,"Y",2005-04-01,22.227397260274,27.271040647664,2005-10-08,61,125,300,62,59,19,13,98,13,13,16,33,67,131,300,300,13,1
"702","walter powell","Murray State",2014,"WR",1991-12-23,71,189,20.7,2012,42.7,12.7,94.0790987599407,10.93,4.23,80,89.5,120,6.7,4.63,94.0358095393487,31.5,9.5,31.625,0.51764705882353,0.708029197080292,0.638655462184874,0.27027027027027,0.4,0.465753424657534,0.472222222222222,1.62711689237757,0.742492492492492,"Y",2014-04-01,22.2876712328767,26.3572703828605,2014-10-08,196,126,300,300,137,300,300,300,300,300,300,300,300,300,300,300,137,0
"703","wendall williams","Cumberlands",2016,"WR",1990-09-18,71,185,24,2014,48.3,30.5,NA,10.75,4.11,103.3,125.6,127,6.64,4.32,123.956841908471,45,NA,NA,0.88235294117647,0.751824817518248,0.739495798319327,1,0.4,NA,0.666666666666667,NA,1.66666666666667,"Y",2016-04-01,25.5534246575342,25.7994445546519,2016-10-08,260,425,167,300,300,300,300,300,300,300,300,300,300,300,300,300,167,NA
"704","wes welker","Texas Tech",2004,"WR",1981-05-01,69,185,20.4,2001,17.4,11.3,NA,11.1,4.01,71.7,97.6,113,7.09,4.7,85.115404275768,30,NA,NA,0.435294117647059,0.423357664233577,0.823529411764706,0.189189189189189,0.266666666666667,NA,0.277777777777778,NA,0.466966966966967,"Y",2004-04-01,22.9342465753425,27.3167401806343,2004-10-08,260,48,300,300,42,10,10,4,18,2,7,21,71,145,300,300,2,1
"705","will franklin","Missouri",2008,"WR",1985-10-13,72.5,214,20.99,2006,21.8,14.5,NA,NA,NA,111.9258156,NA,NA,NA,4.39,NA,34.5,9.75,32.5,0.8,NA,NA,0.432432432432432,0.5,0.561643835616438,NA,NA,NA,"Y",2008-04-01,22.4821917808219,28.6215457788347,2008-10-08,260,25,139,300,300,300,300,300,300,300,300,300,300,300,300,300,139,0
"706","will fuller v","Notre Dame",2016,"WR",1994-04-16,72,186,20.4,2014,46.7,20.3,100.845084222577,11.2,4.27,105.3,104,126,6.93,4.32,102.931908521557,33.5,8.25,30.75,0.88235294117647,0.54014598540146,0.605042016806723,0.378378378378378,0.466666666666667,0.36986301369863,0.638888888888889,1.93412686435389,1.01726726726727,"Y",2016-04-01,21.9753424657534,25.2233796296296,2016-10-08,21,17,65,61,300,300,300,300,300,300,300,300,300,300,300,300,61,NA
"707","willie reid","Florida State",2006,"WR",1982-09-19,70.5,188,23.06,2005,13,12.8,97.7283855805433,11.32,4.26,91.27483589,NA,117,7.06,4.41,101.83812585981,37.5,9.25,30.63,0.776470588235294,0.445255474452555,0.613445378151261,0.594594594594595,0.366666666666667,0.356712328767123,0.388888888888889,1.7927051057596,0.983483483483484,"Y",2006-04-01,23.5479452054795,26.5910165484634,2006-10-08,95,30,300,153,300,300,300,300,300,300,300,300,300,300,300,300,153,0
"708","willie snead iv","Ball State",2014,"WR",1992-10-17,71,195,19.9,2012,39.4,14.3,NA,11.58,4.39,83.3,89.5,113,7.19,4.62,91.2405871815509,33.5,10.25,NA,0.529411764705882,0.350364963503649,0.504201680672269,0.378378378378378,0.4,NA,0.277777777777778,NA,0.656156156156156,"Y",2014-04-01,21.4684931506849,27.1940091251736,2014-10-08,260,140,300,32,35,146,300,300,300,300,300,300,300,300,300,300,32,0
